Utterance,makes_needs_explicit,makes_emotions_explicit,makes_values_explicit,makes_consequences_explicit,makes_conflict_explicit,makes_strengths_resources_explicit,evokes_concrete_elaboration,evokes_perspective_elaboration,emotions_check_in,problem_solving,planning,normalizing,teaching_psychoeducation,Turn,ConvID
Sure thing. What direction would you like to take this?,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20
"That's an amazing thing to prioritize, especially because you've been under so much pressure! What's been going well, just to start? I know you've been trying to adjust your mindset a bit, when it comes to school. Have you made any headway there, or have you been focused on other stuff?",0,0,0,0,0,0,1,0,0,0,0,1,0,3,20
What does that kindness look like?,0,0,0,0,0,0,1,0,0,0,0,0,0,5,20
"That's huge! Especially given what you were saying about failure. Weren't you worried that if you misstepped, people might start seeing you as incompetent?",0,0,0,0,1,0,0,1,0,0,0,0,0,7,20
"So you have that fear, but you've been working on letting it go. Can you tell me about a time recently when you reminded yourself of that?",0,0,0,0,1,1,1,0,0,0,0,0,0,9,20
"What did you notice afterwards? Were you able to focus more, or feel a bit more energized?",0,0,0,0,0,0,1,0,0,0,0,0,0,11,20
"So not only did you get your energy back, you were able to move forward. It was very different from the downward spiral you were describing earlier.",0,0,0,1,0,1,0,0,0,0,0,0,0,13,20
"Well, I think you've earned it! Feeling that weight on your shoulders must have been exhausting. But, thinking bigger picture, what do you think it would take to keep it off? You've made a lot of progress, but I know you haven't been doing this forever.",0,1,0,0,0,1,0,1,0,0,0,1,0,15,20
What would a slip-up look like?,0,0,0,0,0,0,1,0,0,0,0,0,0,17,20
"Got it, so you'd need to catch yourself quickly. Would you want to practice that now, maybe? We could imagine a scenario where you make a mistake, and you feel the urge to dwell.",1,0,0,0,0,0,0,0,0,0,0,0,0,19,20
"Let's start with what happens in the spiral. You miss the email, you realize you've done so, and what happens in your mind?",0,0,0,0,0,0,1,0,0,0,0,0,0,21,20
"Right, and you were able to break that pattern when you made the coding error. What did you say to yourself then?",0,0,0,0,0,1,1,0,0,0,0,0,0,23,20
So this is really interesting. Can I try to explain back what happened here?,0,0,0,0,0,0,1,0,0,0,0,0,0,25,20
"Well, on the one hand, you were admitting that what you'd done was wrong. But on the other, you were seeing it as a chance to improve. Did I get that right?",0,0,0,0,1,0,0,0,0,0,0,0,0,27,20
How did you actually accomplish that shift in your mind?,0,0,0,0,0,0,1,0,0,0,0,0,0,29,20
"Ah, okay. So you were moving towards something, as opposed to just running away from your fear. I wonder if you could do something similar in this new scenario, with the email. You might doubt yourself at first, but could you identify a positive step you could take?",0,0,0,0,0,0,0,1,0,1,0,0,0,31,20
"I love that. And I want to highlight something, which is that you've been working on being kinder to yourself. Before, you were having a thought like, 'I'm not good enough' and that was leading to a feeling of shame, and then a lot of spiraling. But in this coding scenario, you took a moment to remind yourself that mistakes happen to everyone. You were able to move on.",0,1,0,1,0,1,0,0,0,0,0,1,0,33,20
"I love that you're feeling good, and you're wanting to keep this going! Aside from work, what's been going well?",0,1,0,0,0,0,1,0,0,0,0,0,0,2,21
"Excellent. Were you feeling a bit off-balance before? I know you've had a lot to handle, from your workload to Mark's passing.",0,1,0,0,0,0,1,0,1,0,0,1,0,4,21
I'm so glad to hear that. What do you think has been making the biggest difference?,0,0,0,0,0,0,1,0,0,0,0,0,0,6,21
"Right, I mean, you can't be in the office all the time! What have you been doing to enforce those boundaries, though? I know it can be hard, especially when you're worried about falling behind.",0,0,0,0,0,0,1,0,0,0,0,1,0,8,21
"That's a big shift! If there's still work to do, how are you able to log off?",0,0,0,0,0,0,0,1,0,0,0,0,0,10,21
"Ah, okay. So there's a bit of strategy involved, too. Once you've made that plan, how hard is it to stick to? Are you ever tempted to keep going, or do you feel like you've truly left work behind?",0,0,0,0,0,0,0,1,0,0,0,0,0,12,21
What are those reasons? Why do the boundaries matter?,0,0,0,0,0,0,1,1,0,0,0,0,0,14,21
"That's been true in the short term, but you're also thinking long-term! You want this sense of balance to be a permanent thing, instead of just a momentary blip. Would you agree?",1,0,0,0,1,0,0,1,0,0,0,0,0,16,21
What's the challenge that could potentially throw you off?,0,0,0,0,0,0,0,1,0,0,0,0,0,18,21
